year,county,agency_name,agency_code,violent_crimes,property_crimes,violent_clearance_rate,property_clearance_rate,arrests_total,arrests_felony,arrests_misdemeanor,arrests_status_offense,dic_total_deaths,dic_arrest_related,dic_city_county_jails,leoka_total_deaths,leoka_felony_deaths,leoka_accidental_deaths,leoka_total_assaults,leoka_injury_assaults,leoka_no_injury_assaults,calls_for_service,contracting_agencies,population_served,hispanic_population,white_population,black_population,native_american_population,asian_pacific_islander_population,other_population,hispanic_proportion,white_proportion,black_proportion,native_american_proportion,asian_pacific_islander_proportion,other_proportion,arrests_total_rate_per_100000,arrests_felony_rate_per_100000,arrests_misdemeanor_rate_per_100000,arrests_status_offense_rate_per_100000,violent_crimes_rate_per_100000,property_crimes_rate_per_100000,dic_total_deaths_rate_per_100000,dic_arrest_related_rate_per_100000,dic_city_county_jails_rate_per_100000,leoka_total_deaths_rate_per_100000,leoka_felony_deaths_rate_per_100000,leoka_accidental_deaths_rate_per_100000,leoka_total_assaults_rate_per_100000,leoka_injury_assaults_rate_per_100000,leoka_no_injury_assaults_rate_per_100000
2005,Contra Costa,CA Highway Patrol - Contra Costa,799,1,1401,100,0.21,1143,72,1071,0,0,0,0,0,0,0,1,0,1,,,1001216,223271,512623,90109,3004,137167,35043,0.22,0.51,0.08,0,0.13,0.03,114.16118,7.191255433,106.9699246,0,0.099878548,139.9298453,0,0,0,0,0,0,0.099878548,0,0.099878548
2005,Contra Costa,Brentwood Police Department,702,100,985,57,13.5,1072,321,742,9,0,0,0,0,0,0,6,3,3,,,41343,10873,23359,2398,41,2853,1860,0.26,0.56,0.05,0,0.06,0.04,2592.941973,776.4313185,1794.741552,21.76910239,241.8789154,2382.507317,0,0,0,0,0,0,14.51273492,7.256367462,7.256367462
2005,Contra Costa,El Cerrito Police Department,705,180,1443,41.66,12.19,932,496,436,0,0,0,0,0,0,0,5,3,2,,,23120,2936,11421,1942,46,5526,1272,0.12,0.49,0.08,0,0.23,0.05,4031.141869,2145.32872,1885.813149,0,778.5467128,6241.349481,0,0,0,0,0,0,21.62629758,12.97577855,8.650519031
2005,Contra Costa,Pleasant Hill Police Department,709,127,1874,48.81,11.04,906,406,500,0,0,0,0,0,0,0,7,2,5,,,32982,3100,22955,627,66,4716,1583,0.09,0.69,0.01,0,0.14,0.04,2746.952883,1230.974471,1515.978412,0,385.0585168,5681.88709,0,0,0,0,0,0,21.22369777,6.06391365,15.15978412
2005,Contra Costa,Pinole Police Department,707,127,1294,33.07,17.38,725,301,423,1,0,0,0,0,0,0,7,2,5,,,18837,3447,8307,1903,38,4276,848,0.18,0.44,0.1,0,0.22,0.04,3848.808197,1597.918989,2245.580506,5.308700961,674.205022,6869.459043,0,0,0,0,0,0,37.16090673,10.61740192,26.5435048
2005,Contra Costa,Hercules Police Department,706,56,600,39.28,7,430,184,246,0,0,0,0,,,,,,,,,22832,2671,4544,3836,46,10685,1050,0.11,0.19,0.16,0,0.46,0.04,1883.321654,805.8864751,1077.435179,0,245.2697968,2627.89068,0,0,0,,,,,,
2005,Contra Costa,Clayton Police Department,703,10,176,40,6.25,187,46,141,0,0,0,0,,,,,,,,,10843,607,9141,43,0,770,282,0.05,0.84,0,0,0.07,0.02,1724.614959,424.2368348,1300.378124,0,92.22539887,1623.16702,0,0,0,,,,,,
2005,Contra Costa,Moraga Police Department,716,18,167,61.11,5.98,126,26,100,0,0,0,0,,,,,,,,,16133,1323,11809,177,0,2210,613,0.08,0.73,0.01,0,0.13,0.03,781.0078721,161.1603546,619.8475175,0,111.5725532,1035.145354,0,0,0,,,,,,
2005,Contra Costa,Contra Costa E. Bay Reg. Park Dist.,717,15,221,6.66,6.78,114,57,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Contra Costa,Contra Costa Community College Police Department,721,21,327,4.76,0,73,34,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Contra Costa,Union Pacific RR - Contra Costa Police Department,733,4,4,0,0,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
